INFO 2026-01-15 15:30:50,273 autoreload Watching for file changes with StatReloader
DEBUG 2026-01-15 15:30:50,347 autoreload File C:\Python313\Lib\asyncio\windows_utils.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,347 autoreload File C:\Python313\Lib\multiprocessing\__init__.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,347 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\encoding.py first seen with mtime 1756806607.95285
DEBUG 2026-01-15 15:30:50,348 autoreload File C:\Python313\DLLs\_wmi.pyd first seen with mtime 1755178418.0
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1756806607.7945879
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1756806607.9228294
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1756806607.8893106
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1756806607.4154246
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\urls\base.py first seen with mtime 1756806607.9498503
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1756806607.8803062
DEBUG 2026-01-15 15:30:50,348 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1756806607.8878107
DEBUG 2026-01-15 15:30:50,348 autoreload File C:\Python313\Lib\__future__.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,349 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1756806607.9093275
DEBUG 2026-01-15 15:30:50,349 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1756806607.957355
DEBUG 2026-01-15 15:30:50,349 autoreload File D:\Programmation\mediatheque\Lib\site-packages\colorama\initialise.py first seen with mtime 1764265626.5848703
DEBUG 2026-01-15 15:30:50,349 autoreload File D:\Programmation\mediatheque\Lib\site-packages\colorama\ansi.py first seen with mtime 1764265626.5848703
DEBUG 2026-01-15 15:30:50,349 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1756806607.885311
DEBUG 2026-01-15 15:30:50,349 autoreload File C:\Python313\Lib\asyncio\staggered.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,349 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\inspect.py first seen with mtime 1756806607.954855
DEBUG 2026-01-15 15:30:50,349 autoreload File C:\Python313\Lib\asyncio\queues.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,349 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\files\base.py first seen with mtime 1756806607.8868105
DEBUG 2026-01-15 15:30:50,350 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1756806607.9173295
DEBUG 2026-01-15 15:30:50,350 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\files\utils.py first seen with mtime 1756806607.8878107
DEBUG 2026-01-15 15:30:50,350 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\forms\widgets.py first seen with mtime 1756806607.9263358
DEBUG 2026-01-15 15:30:50,350 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1756806607.8783057
DEBUG 2026-01-15 15:30:50,350 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1756806607.8793056
DEBUG 2026-01-15 15:30:50,350 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\http.py first seen with mtime 1756806607.954355
DEBUG 2026-01-15 15:30:50,350 autoreload File C:\Python313\Lib\email\message.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,350 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1756806607.9223294
DEBUG 2026-01-15 15:30:50,350 autoreload File C:\Python313\Lib\difflib.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,350 autoreload File C:\Python313\Lib\pathlib\_abc.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,351 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1756806607.300071
DEBUG 2026-01-15 15:30:50,351 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1756806607.5129943
DEBUG 2026-01-15 15:30:50,351 autoreload File C:\Python313\Lib\email\_parseaddr.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,351 autoreload File C:\Python313\Lib\_colorize.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,351 autoreload File D:\Programmation\mediatheque\mediatheque_project\app_membre\__init__.py first seen with mtime 1756806638.2745745
DEBUG 2026-01-15 15:30:50,351 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1756806607.8888106
DEBUG 2026-01-15 15:30:50,351 autoreload File C:\Python313\Lib\asyncio\subprocess.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,351 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1756806607.94735
DEBUG 2026-01-15 15:30:50,351 autoreload File C:\Python313\Lib\encodings\__init__.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,351 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1756806607.9428425
DEBUG 2026-01-15 15:30:50,351 autoreload File C:\Python313\Lib\gzip.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,351 autoreload File C:\Python313\Lib\asyncio\protocols.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,351 autoreload File C:\Python313\Lib\asyncio\selector_events.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,351 autoreload File C:\Python313\Lib\warnings.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,351 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1756806607.8848107
DEBUG 2026-01-15 15:30:50,351 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1756806607.7930803
DEBUG 2026-01-15 15:30:50,352 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1756806607.2970707
DEBUG 2026-01-15 15:30:50,352 autoreload File C:\Python313\Lib\_opcode_metadata.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,352 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\views\i18n.py first seen with mtime 1756806607.9588575
